ID,Text
1-1,档案号：C-012
1-2,等级：S-严重人身伤害事件
1-3,案件名称：希望之峰A2食堂集体食物中毒事件
1-4,案发时间：2010年10月1日 下午7:15左右 星期五
1-5,案发地点：希望之峰本科A2食堂/希望之峰生物学部楼
1-6,案件状态：未结案
1-7,案件概述
1-8,案发当日正好是周五的晚上。往常这个时候A2食堂都会举行大型优惠活动，然而由于该活动被移到了周三，当天前来就餐的人数比往常要少很多。
1-9,当天晚间7:15左右，坐在食堂各处的四名受害人先后倒地，出现剧烈抽搐症状。
1-10,现场工作人员立刻联系了紧急医护人员和救护车，在多人的救助下，A2食堂的四名中毒人员中的两名（佐川姬子，日下部龙之介）侥幸生还，另外两名被害人在送往医院的途中因抢救无效死亡。
1-11,巧合的是，四位死者唯一共同享用的餐点是当天赠送的免费例汤。这份例汤需要顾客自助用公共餐具盛上。
1-12,事后处置
1-13,案发后，现场所有人员与已确认的中毒者都被送至希望之峰医学部医院进行治疗。
1-14,经过紧急排查，当晚晚餐时段所有曾在A2食堂用餐的人员和参与工作的工作人员都被暂时控制，确认所有可能嫌疑人都未离开希望之峰校区。
1-15,与此同时，本校保安部完成了对整个校区的封锁，紧急公关部门也已经彻底封锁消息。
1-16,希望之峰医学院医院报告
1-17,当晚共接收患者39人。所有现场顾客（共31人）都被强制洗胃。
1-18,除去因抢救无效而死亡的两位受害人和发现时已经死亡的两位受害人之外，同样出现明显中毒症状的佐川姬子因脏器受损仍需住院。
1-19,而日下部的生命体征则较为正常，未发现有明显肠胃损伤，但因事件受到了不少惊吓。
1-20,五位被害人的初步尸检报告已经给出。
1-21,
1-22,*对所有被害人尸体的毒剂检测仍未得出具体结果
2-1,尸表检查
2-2,尸体于1日晚8:15到院，男性，身高178cm，发育无异常，消瘦，体表无发育畸形，未见明显外伤。
2-3,发色金黄，头皮完整。手指，手臂及膝关节内屈，疑似为强烈抽搐所致。
2-4,内部检查
2-5,1.体腔：无异常。
2-6,2.皮肤：腹壁皮下脂肪层厚度2cm。
2-7,3.头颅及中枢神经系统：在头部发现了大规模整容手术的痕迹。中枢神经部分坏死。
2-8,4.颈部：无异常。
2-9,5.心血管系统：心脏皱缩严重，疑似是因痉挛抽搐所致。无其他病变。
2-10,6.呼吸系统：无异常。
2-11,7.肝、脾及胆道系统：肝部肿大，内脏出现不同程度的损伤。
2-12,8.消化系统：胃内发现约250ml内容物，已抽出部分用作毒物分析，发现同位素标记。
2-13,9.泌尿生殖系统：无异常。
2-14,死亡时间推定
2-15,
2-16,死亡时间应为当晚19:30左右。
3-1,尸表检查
3-2,尸体于1日晚8:15到院，女性，身高161cm，发育无异常，微胖，体表无发育畸形，躯干无明显外伤。
3-3,双手手指指尖有严重擦伤，部分指甲脱落，指甲缝内有人体组织，经检测是死者自己的。
3-4,颈部有多道轻微刮伤，应是死者自己的指甲造成。死者口鼻部有明显白沫。
3-5,内部检查
3-6,1.体腔：无异常。
3-7,2.皮肤：无异常。
3-8,3.头颅及中枢神经系统：头颅无异常，中枢神经出现大规模坏死和萎缩。
3-9,4.颈部：无异常。
3-10,5.心血管系统：心脏皱缩严重，疑似是因痉挛抽搐所致。
3-11,6.呼吸系统：肺部皱缩，气管内有大量白沫堵塞。
3-12,7.肝、脾及胆道系统：肝部肿大，内脏出现不同程度的损伤。
3-13,8.消化系统：胃内发现约250ml内容物，已抽出部分用作毒物分析，已检出同位素标记。
3-14,9.泌尿生殖系统：无异常。
3-15,死亡时间推定
3-16,推定死因为TETS中毒所导致的多内脏损伤。
3-17,根据指尖的擦伤可知患者在死前曾经历过极其痛苦的挣扎。
3-18,
4-1,尸表检查
4-2,尸体于1日晚20:24到院，为女性，身高162cm，发育无异常，体表无发育畸形。
4-3,内部检查
4-4,1.体腔：无异常。
4-5,2.皮肤：无异常。
4-6,3.头颅及中枢神经系统：头颅无异常，中枢神经出现大规模坏死和萎缩。
4-7,4.颈部：无异常
4-8,5.心血管系统：无异常。
4-9,6.呼吸系统：无异常。
4-10,7.肝、脾及胆道系统：肝部肿大，内脏出现不同程度的损伤。
4-11,8.消化系统：胃内发现约250ml内容物，已抽出部分用作毒物分析。检出同位素标记。
4-12,9.泌尿生殖系统：无异常。
4-13,死亡时间推定
4-14,
4-15,推定死亡时间为当晚19:20左右。
5-1,尸表检查
5-2,尸体于1日晚20:24到院，为男性，身高182cm，发育无异常，体表无发育畸形。
5-3,内部检查
5-4,1.体腔：无异常。
5-5,2.皮肤：无异常。
5-6,3.头颅及中枢神经系统：头颅无异常，中枢神经出现大规模坏死和萎缩。
5-7,4.颈部：无异常
5-8,5.心血管系统：无异常。
5-9,6.呼吸系统：无异常。
5-10,7.肝、脾及胆道系统：肝部肿大，内脏出现不同程度的损伤。
5-11,8.消化系统：胃内发现约250ml内容物，已抽出部分用作毒物分析。检出同位素标记。
5-12,9.泌尿生殖系统：无异常。
5-13,死亡时间推定
5-14,
5-15,推定死亡时间为当晚19:20左右。
6-1,尸表检查
6-2,尸体于1日晚20:24到院，为男性，身高152cm，发育无异常，微胖，体表无发育畸形。
6-3,胸口有3cm宽，9cm深刃器伤口，位置偏左。
6-4,后脑有轻微淤血，疑似是倒下时碰撞坚硬地面所致。
6-5,内部检查
6-6,1.体腔：胸腔有大量血液，未在肋骨上发现刃器伤或划过的痕迹，可以确定刀身是从肋骨缝隙间穿过的。切口十分整齐，加上死者西服的阻挡，几乎没有血液溅出。
6-7,2.皮肤：无异常。
6-8,3.头颅及中枢神经系统：神经系统完好，无异常
6-9,4.颈部：无异常
6-10,5.心血管系统：心脏有刃器伤，心包，右心房和右心室被贯穿，切口整齐。
6-11,6.呼吸系统：左肺部被刃器刺穿，出现血气胸症状。
6-12,7.肝、脾及胆道系统：无异常。
6-13,8.消化系统：胃内发现约250ml内容物，已抽出部分用作毒物分析。
6-14,9.泌尿生殖系统：无异常。
6-15,死亡时间推定
6-16,
6-17,
6-18,死者应在受伤后的10秒内死亡。
6-19,推定死亡时间为当晚18:20左右。
7-1,案发之后，得益于现场保安的快速反应，A2食堂的状况迅速得到控制。
7-2,在完成了伤者收治和现场目击者导流后，现场调查随即展开。
7-3,用餐区状况
7-4,调查人员立刻对现场餐具进行了检测，结果在今井加奈，荒川摩耶，日下部龙之介，佐川姬子四人的当天免费汤品餐具和残留中发现了同位素标记和TETS毒剂反应。
7-5,其他餐品与其他顾客的免费汤品中均没有发现类似残留。
7-6,后厨状况
7-7,在对后厨进行了彻底的地毯式搜查后，没有发现疑似下毒所用的容器。
7-8,后厨的所有工作人员均接受了搜身，亦没有发现类似容器。
7-9,在对当天的免费汤品锅进行调查后，只在当天的第一个汤品锅里发现了同位素标记和TETS毒剂反应。
8-1,实行管制的原因
8-2,案发前，由于2009年希望之峰事故频发，严重影响到了学校在公众面前的形象，故希望之峰实行了有史以来最严格的安保管制。
8-3,细则
8-4,1. 所有进出学校的人员，车辆，均需进行完整且细致的安保检查，无一例外，以确保没有违禁品进入。
8-5,2. 学校内所有宿舍，教学楼，包括个人储物格都将更新为电子密码锁。所有学生，教职工和访客都必须使用电子手册开门。如果有特别需要，可以通过电子手册上的软件远程授权给他人。
8-6,3. 扩大必须进行同位素标记的项目范围。现在除了重点项目，其他项目也必须适用该规则：对于实验室内所使用的所有药剂和实验体都必须进行独特的同位素标记，确保在发生事故之后能够准确定位。
17-1,由于A2食堂现场的调查人员和医院的报告均指出毒剂为希望之峰内部的TETS制剂，故对药品储藏室进行了紧急搜查。
17-2,现场状况
17-3,储藏室的门锁没有被破坏及外力撬开的痕迹，也未发现黑客行为。
17-4,门锁记录当日唯一一次开锁时间为晚上19:02，使用的是宫原克的电子手册。
17-5,经过搜查人员找到的药品列表进行比对，发现其中装有TETS的唯一一瓶药剂已经失窃。
17-6,除此之外，在失窃药架的地上发现了一些粉末。经过毒药检测，证明这些粉末应该是普通的面粉。
17-7,除以上区域之外，其他位置一切正常。
18-1,当晚，搜查人员在多次敲门无果之后用万能钥匙打开了管理科科室门，在其内发现了宫原克的尸体。
18-2,尸体状况
18-3,宫原克的尸体以一种脚冲门的姿势自然仰躺在地上，身上的衣物没有明显的杂乱，身下有大量血迹但形状规则且集中。
18-4,衣服上有一些翻动痕迹，经过调查，宫原克的电子手册失踪了，大概是凶手刺杀之后拿走了手册。
18-5,凶器是一把插在胸口上的薄刃切鱼刀，没有在凶器上采集到指纹，不过发现了一些乳胶残留，初步认定是医用乳胶手套留下的。
18-6,经过调查，这把切鱼刀是正本牌的，十分昂贵，但是经过紧急联系确认，日本国内近日并没有售出过这样的切鱼刀。
18-7,现场状况
18-8,进入屋内时房间的灯没有被点亮。
18-9,管理科科室的门锁没有被破坏及外力撬开的痕迹，也未发现黑客行为。
18-10,门锁记录当日有多次开关记录，最后一次开锁时间为晚上18:14，是从内部开的门。
18-11,根据当日的开关记录和现场的状况推算，当时宫原克应该是独自在房内。
18-12,调查人员调查了房内的其他部分，并没有发现有被翻动或者是打斗引起的混乱，也没有发现财物丢失。
18-13,指纹调查的结果是，现场除了管理科科室工作人员的指纹之外没有任何可疑指纹留下。
18-14,仅在房内的电灯开关上发现了疑似乳胶手套按压留下的痕迹。
18-15,工作人员的去向
18-16,当晚，保安立刻对所有管理科工作人员的去向进行了地毯式调查，结果发现所有人都没有在案发时间进入过希望之峰，并都有着不同程度的不在场证明。
19-1,调查人员到达顶楼时，发现顶楼的门被从外部反锁。
19-2,在强行撞开之后，发现了宫原奈美惠和藤间悠斗的尸体。
19-3,尸体状况
19-4,两人的尸体俯卧在顶楼门口附近。
19-5,宫原奈美惠的尸体蜷缩成一团，双手紧握，并在尸体附近发现了手指留下的血痕，疑似是死者生前经过挣扎所致。
19-6,除此之外，在口袋里发现了她的手机。
19-7,藤间悠斗的尸体躺在宫原奈美惠附近，面部表情较为狰狞，双手紧握，但体态总体相对自然，没有经过太多挣扎。
19-8,现场状况
19-9,在两人身旁发现了两份便当和两个空牛奶瓶。
19-10,经过辨认，两份便当应来自当天的A2食堂，其内(包括当日的免费汤品)未检出同位素痕迹。
19-11,两个牛奶瓶的来源不明，在其内检出了同位素痕迹。
19-12,除此之外，在天台还发现了一个用易拉罐铝壳构成的火盆，里面装满了灰烬。
19-13,从剩余的部分看，这似乎曾经是一本笔记本，在烧剩下的封皮上发现了希望之峰校徽的印记。
19-14,宫原奈美惠手机里的LINE聊天记录
19-15,——9月30日 20:54——
19-16,悠斗：明天一起去顶楼吃便当吧（:emoji:招手）
19-17,你：啊？你不是有活动要参加吗（:emoji:疑问）
19-18,悠斗：啊，那个，没关系，我推掉了。
19-19,你：是嘛www那明天见。
19-20,——10月1日 19:06——
19-21,悠斗：你在哪？
19-22,你：你好慢啊。我已经到了楼顶了。（:emoji:怒）
19-23,悠斗：我刚刚去买便当了。今天的A2食堂人很多，排了好久才排到。
19-24,你：总之你快点啦，我已经要冻僵了。对了，今天的例汤是什么？
19-25,悠斗：奶油浓汤。
19-26,你：哇！我超喜欢那个奶油浓汤！话说回来你今天怎么这么冷漠啊，出什么事了吗？（:emoji:疑问）
19-27,悠斗：没什么。刚才在食堂看到了那个叫理绘的家伙，所以有点不爽。
19-28,你：哈？预备学科的人也能随便进本校？那群保安是吃干饭的吗？
19-29,悠斗：说的就是啊！（:emoji:怒）
19-30,你：看来是时候再找人好好“教育”她一次了。明明都已经差点被搞死还敢这么跳？
19-31,你：悠斗？你在吗？（:emoji:疑问）
19-32,悠斗：我就快到了，见面再说吧。
20-1,TETS作为一种神经毒素能引起致命性的抽搐，是最危险的杀鼠剂之一。
20-2,ETS的毒性比氰化钾强100倍，是更强烈的痉挛剂。
20-3,它是一种γ-氨基丁酸（GABA）的拮抗物，与神经元GABA受体形成不可逆转的结合，使氯通道和神经元丧失功能，且尚未有确认的解毒剂。
20-4,人类的致命剂量被认为是7至10毫克。
20-5,典型的中毒症状包括强烈的抽搐，呕吐，中枢神经系统损害。通常重度中毒者还伴有严重的内脏损伤，表明其毒理尚未被完全解明。
9-1,姓名：今井加奈
9-2,性别：女
9-3,身高：162cm
9-4,体重：47kg
9-5,籍贯：埼玉县
9-6,婚姻状况：未婚
9-7,出生日期：1976年11月24日
9-8,职务：希望之峰（本科）生物学部讲师
9-9,住址：希望之峰教师宿舍9区4栋404
9-10,简历
9-11,1994年就读于东京大学医学部
9-12,2001年获得分子细胞生物学专业博士学位，从东京大学毕业。同年进入希望之峰，任医学部助理讲师
9-13,2006年调任希望之峰生物学部，任讲师
9-14,2008年起，代理希望之峰预备学科生物课讲师
9-15,主要学术成就
9-16,《离子注入生物学研究述评》，2002
9-17,《无氧条件下TiO2薄膜界面光催化反应的XPS研究》，2005
9-18,《NSE在神经系统疾病中的研究进展》，2008
9-19,人际关系
9-20,佐川姬子
9-21,自从2006年调任生物学部讲师起，由于与佐川姬子的研究领域重合，加上今井加奈的竞争心旺盛，两年内一直以佐川姬子作为自己的主要竞争对手。
10-1,姓名：佐川姬子
10-2,性别：女
10-3,身高：170cm
10-4,体重：52kg
10-5,籍贯：大阪府
10-6,婚姻状况：丧偶
10-7,出生日期：1970年7月2日
10-8,职务：希望之峰（本科）生物学部教授
10-9,住址：希望之峰教师宿舍3区1栋703
10-10,家庭组成
10-11,女儿 佐川理绘
10-12,简历
10-13,1987年前往美国留学，就读于加州大学伯克利分校，生物工程专业
10-14,1994年以生物工程博士的学位从加州大学伯克利分校毕业，同年在当地结婚并育有一女
10-15,1996年，丈夫在出差时遭遇空难丧生
10-16,1999年，接受希望之峰的聘请回国，担任希望之峰生物学部讲师
10-17,2001年，升任希望之峰生物学部副教授
10-18,2008年，升任希望之峰学部教授
10-19,主要学术成就
10-20,《TBF-1C转基因鱼模型的建立》，1989
10-21,《生物工程学掀起的农产品生产革命》，1993
10-22,《类胡萝卜素合成的相关基因及其基因工程》，2001
10-23,《基因工程菌枯草芽孢杆菌GEB3产生的脂肽类抗生素及其生物活性研究》，2003
10-24,《Project Miri》，2008
10-25,人际关系
10-26,宫原克
10-27,自2001年起任佐川姬子的研究助理。两人关系开始还算融洽，但宫原于2008年主动申请辞去研究助理一职，调任生物实验室管理科科长。
10-28,今井加奈
10-29,自从2006年今井加奈成为生物学部讲师起，由于两人研究领域重合，今井加奈一直视佐川姬子为学术上的竞争对手，对其多抱有敌意。但由于佐川姬子在生物工程领域已经是业界权威，今井加奈目前处于全面下风。
11-1,姓名：荒川摩耶
11-2,性别：男
11-3,身高：182m
11-4,体重：75kg
11-5,籍贯：宫城县
11-6,婚姻状况：未婚
11-7,出生日期：1993年1月15日
11-8,学籍：希望之峰本科76期生，超高校级的记者
11-9,住址：希望之峰学生宿舍1区15栋103
11-10,简历
11-11,2008年，入学希望之峰预备学科76期，同年因独家报道Ibiza案件而名声大噪
11-12,人际关系
11-13,江之岛盾子
11-14,据相关目击者称，平面模特江之岛盾子曾经与荒川摩耶近期关系密切，曾有传闻称荒川摩耶约稿要进行独家访谈。
12-1,姓名：藤间悠斗
12-2,性别：男
12-3,身高：178m
12-4,体重：52kg
12-5,籍贯：静冈县
12-6,婚姻状况：未婚
12-7,出生日期：1993年6月5日
12-8,学籍：希望之峰本科77期生，超高校级的说唱歌手
12-9,住址：希望之峰学生宿舍1区19栋403
12-10,家庭组成
12-11,父亲 藤间雅史
12-12,母亲 希尔薇娅·伊芙（Sylvia Eve）
12-13,简历
12-14,2007年，以《I took A Pill In TOHO》专辑出道，主打违反常规的叛逆的形象。不久后就传出他曾经接受过大规模整容的丑闻，但本人予以否认。
12-15,2008年，申请进入希望之峰，因其患有毒瘾被拒绝。当月便出了一张新专嘲讽了一番希望之峰。
12-16,2009年，希望之峰招生前夕突然宣布戒毒，同年作为超高校级的说唱歌手进入希望之峰（77期）。并表示自己要专心深造，在毕业之前不会发布新歌。
12-17,人际关系
12-18,宫原奈美惠
12-19,入学后不久就成了情侣。据称这段明星恋情竟然是藤间主动出手的，但好在两人关系一直很和睦。
12-20,预备学科
12-21,藤间悠斗是少数与预备学科关系极好的人，由于其进入希望之峰前主打叛逆风的艺术风格，藤间悠斗对预备学科并无歧视态度，反倒是在入校后的第一次演唱会就选在了预备学科，即使没有任何新歌放出也在预备学科收获了大量的粉丝，甚至被视为是本校在预备学科的“形象大使”（当然校方坚决予以否认）。
13-1,姓名：宫原奈美惠
13-2,性别：女
13-3,身高：161m
13-4,体重：43kg
13-5,籍贯：静冈县
13-6,婚姻状况：未婚
13-7,出生日期：1993年6月5日
13-8,学籍：希望之峰本科76期生，超高校级的生物学家
13-9,住址：希望之峰学生宿舍1区19栋403
13-10,家庭组成
13-11,父亲 宫原克
13-12,简历
13-13,2009年作为超高校级的生物学家替补入学希望之峰（76期）。
13-14,2010年，由于成绩不佳，收到了来自希望之峰生物学部的学业能力警告。
13-15,人际关系
13-16,藤间悠斗
13-17,入学后不久就成了情侣。据称这段明星恋情竟然是藤间主动出手的，但好在两人关系一直很和睦。
14-1,姓名：日下部龙之介
14-2,性别：男
14-3,身高：169cm
14-4,体重：65kg
14-5,籍贯：大阪府
14-6,婚姻状况：丧偶
14-7,出生日期：1965年11月21日
14-8,职务：日下部财团董事
14-9,住址：大阪中央区日下部大厦顶楼
14-10,简历
14-11,1984年，毕业于东京理科大学生物工学科（学士），同年到普林斯顿大学学习管理学
14-12,1987年，管理学硕士毕业，回国，就任日下部财团董事
14-13,人际关系
14-14,日下部财团
14-15,作为前任董事的儿子，日下部龙之介是一个靠家族关系上位的典型领导人。虽然地位稳固，但是财团内部对其地位心怀怨恨的人不少。日下部龙之介的地位曾经在主张投资的Ibiza餐厅计划失败后遭受了一定的打击，但由于其父亲的势力，在财团内部的位置一直延续至今。
14-16,希望之峰理事会
14-17,日下部龙之介一直希望入学希望之峰但未能如愿，为了满足其情怀，在成为日下部财团的主要领导人后，对希望之峰进行了大量的投资，理事会对其青睐有加。
15-1,姓名：宫原克
15-2,性别：男
15-3,身高：152m
15-4,体重：62kg
15-5,籍贯：静冈县
15-6,婚姻状况：离婚
15-7,出生日期：1966年2月4日
15-8,职务：希望之峰生物学部管理科科长
15-9,住址：希望之峰教师宿舍3区1栋702
15-10,家庭组成
15-11,女儿 宫原奈美惠
15-12,简历
15-13,1998年，毕业于东京大学生物化学系，硕士学位
15-14,2001年，加入希望之峰，任佐川姬子的助教
15-15,2009年，PI-262事故后，主动辞去助教职务，转任希望之峰生物学部管理科科长
16-1,姓名：仁科幸太郎
16-2,性别：男
16-3,身高：168m
16-4,体重：78kg
16-5,籍贯：静冈县
16-6,婚姻状况：未婚
16-7,出生日期：1973年10月14日
16-8,职务：希望之峰A2食堂负责人/主厨
